Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Odi No
107,102,93,9,1,115.05,4,hit wicket,1,v England,Cardiff,16/09/11,ODI # 3195
37,70,63,0,0,58.73,4,caught,1,v England,Hyderabad (Deccan),14/10/11,ODI # 3199
112,134,98,16,0,114.28,4,not out,2,v England,Delhi,17/10/11,ODI # 3201
35,42,30,5,0,116.66,4,lbw,2,v England,Mohali,20/10/11,ODI # 3205
86,-,99,11,0,86.86,4,not out,2,v England,Wankhede,23/10/11,ODI # 3207
0,5,5,0,0,0,3,bowled,1,v England,Eden Gardens,25/10/11,ODI # 3210
3,13,6,0,0,50,4,bowled,2,v West Indies,Cuttack,29/11/11,ODI # 3217
117,154,123,14,0,95.12,4,caught,2,v West Indies,Visakhapatnam,02/12/11,ODI # 3219
20,21,30,3,0,66.66,4,lbw,2,v West Indies,Ahmedabad,05/12/11,ODI # 3221
23,15,11,3,0,209.09,6,not out,1,v West Indies,Indore,08/12/11,ODI # 3223
80,99,85,5,0,94.11,5,caught,1,v West Indies,Chennai,11/12/11,ODI # 3224
31,30,34,3,0,91.17,3,caught,2,v Australia,Melbourne,05/02/12,ODI # 3231
77,156,94,8,1,81.91,3,run out,2,v Sri Lanka,Perth,08/02/12,ODI # 3233
18,41,28,1,0,64.28,3,caught,2,v Australia,Adelaide,12/02/12,ODI # 3237
15,32,25,1,0,60,3,lbw,2,v Sri Lanka,Adelaide,14/02/12,ODI # 3239
12,44,25,0,0,48,3,caught,2,v Australia,Brisbane,19/02/12,ODI # 3244
